,DEPCOM,ADULTES HANDICAPÉS : ACCUEIL/HÉBERGEMENT,ADULTES HANDICAPÉS : SERVICES DE SOINS À DOMICILE,AGENCE DE TRAVAIL TEMPORAIRE,AMBULANCE,ATHLÉTISME,BOULODROME,BOWLING,CAMPING,CENTRE ACCUEIL DEMANDEUR D’ASILE,CENTRE DE SANTÉ,CENTRE DISPENSANT DES FORMATIONS D’APPRENTISSAGE AGRICOLE,CENTRE LUTTE CANCER,CENTRE MÉDECINE PRÉVENTIVE,CENTRE PROVISOIRE D’HÉBERGEMENT,CENTRE ÉQUESTRE,CHRS : CENTRE D’HÉBERGEMENT ET DE RÉINSERTION SOCIALE,CONSEIL DE PRUD’HOMMES (CPH),CONSERVATOIRE,CONTRÔLE TECHNIQUE AUTOMOBILE,COUR D’APPEL (CA),DIALYSE,DRFIP ET DDFIP,ENFANTS HANDICAPÉS : HÉBERGEMENT,ENFANTS HANDICAPÉS : SERVICES À DOMICILE OU AMBULATOIRES,ERGOTHÉRAPEUTE,GARES,GRANDE SURFACE DE BRICOLAGE,HOSPITALISATION À DOMICILE,HYPERMARCHÉ,LYCÉE D’ENSEIGNEMENT TECHNIQUE ET/OU PROFESSIONNEL AGRICOLE,MAGASIN DE REVÊTEMENTS MURS ET SOLS,MAISON DE JUSTICE ET DU DROIT,MAISON DE SANTÉ PLURIDISCIPLINAIRE,MATERNITÉ,ORTHOPTISTE,PARCOURS SPORTIF/SANTÉ,PERSONNES ÂGÉES : SOINS À DOMICILE,PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS,POISSONNERIE,PRODUITS SURGELÉS,PROTECTION DE L’ENFANCE - ACTION ÉDUCATIVE,PROTECTION DE L’ENFANCE - HÉBERGEMENT,PSYCHOMOTRICIEN,RELAIS POSTE,ROLLER-SKATE-VÉLO BICROSS OU FREESTYLE,SALLES DE COMBAT,SALLES NON SPÉCIALISÉES,SALLES SPÉCIALISÉES,SERVICES FUNÉRAIRES,SPORTS DE GLACE,SPORTS NAUTIQUES,SPÉCIALISTE EN CARDIOLOGIE,SPÉCIALISTE EN GASTRO-ENTÉROLOGIE HÉPATOLOGIE,SPÉCIALISTE EN PNEUMOLOGIE,SPÉCIALISTE EN STOMATOLOGIE,STATION-SERVICE,STRUCTURE PSYCHIATRIQUE EN AMBULATOIRE,TENNIS,TERRAIN DE GOLF,TERRAINS DE GRANDS JEUX,TRANSFUSION SANGUINE,TRAVAIL PROTÉGÉ,TRIBUNAL DE COMMERCE (TCO),URGENCES,ÉCOLE D’ENSEIGNEMENT SUPÉRIEUR AGRICOLE,ÉQUIPEMENT DE CYCLISME,ÉTABLISSEMENT PSYCHIATRIQUE,ÉTABLISSEMENT SANTÉ COURT SÉJOUR,ÉTABLISSEMENT SANTÉ LONG SÉJOUR,ÉTABLISSEMENT SANTÉ MOYEN SÉJOUR
0,75101,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,75102,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,75103,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,75104,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0
4,75105,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0
5,75106,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
6,75107,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
7,75108,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
8,75109,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
9,75110,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1
10,75111,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1
11,75112,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1
12,75113,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
13,75114,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1
14,75115,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
15,75116,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1
16,75117,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1
17,75118,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1
18,75119,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
19,75120,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1
