,Id_compteur,lat,lng,Nom_métro,Distance_métro,Distance_centre_Paris,Arrondissement,Superficie,Population,Densité_pop,Nom_compteur,Comptage_moyen,CodeClasse,Classe_comptage
0,100003096-353242251,48.83511,2.33338,Denfert-Rochereau,0.227,2.484,75114,5.61487730907921,136568.0,24322.526118098907,97 avenue Denfert Rochereau SO-NE,46.7,0,moins de 50 par heure
1,100003097-101003097,48.87773,2.3506,Poissonnière,0.215,2.422,75110,2.89173944162064,86863.0,30038.321831416008,105 rue La Fayette E-O,92.9,1,de 50 à 100 par heure
2,100003098-101003098,48.83521,2.33307,Denfert-Rochereau,0.238,2.479,75114,5.61487730907921,136568.0,24322.526118098907,106 avenue Denfert Rochereau NE-SO,63.0,1,de 50 à 100 par heure
3,100003099-353242239,48.87813,2.3497,Poissonnière,0.154,2.449,75110,2.89173944162064,86863.0,30038.321831416008,100 rue La Fayette O-E,27.1,0,moins de 50 par heure
4,100006300-101006300,48.843435,2.383378,Paris-Bercy,0.486,3.36,75112,16.3147826372674,140237.0,8595.701402705823,135 avenue Daumesnil SE-NO,65.6,1,de 50 à 100 par heure
5,100007049-101007049,48.84604,2.37561,Gare de Lyon,0.336,2.72,75112,16.3147826372674,140237.0,8595.701402705823,28 boulevard Diderot O-E,38.0,0,moins de 50 par heure
6,100007049-102007049,48.84604,2.37561,Gare de Lyon,0.336,2.72,75112,16.3147826372674,140237.0,8595.701402705823,28 boulevard Diderot E-O,7.0,0,moins de 50 par heure
7,100036718-103036718,48.83436,2.377,Quai de la Gare,0.552,3.559,75113,7.14931109107136,181233.0,25349.715195123972,39 quai François Mauriac SE-NO,64.0,1,de 50 à 100 par heure
8,100036718-104036718,48.83436,2.377,Quai de la Gare,0.552,3.559,75113,7.14931109107136,181233.0,25349.715195123972,39 quai François Mauriac NO-SE,58.8,1,de 50 à 100 par heure
9,100036719-103036719,48.85372,2.35702,Pont Marie,0.023,1.134,75104,1.60058563150251,29390.0,18362.02913580504,18 quai de l'Hôtel de Ville SE-NO,35.4,0,moins de 50 par heure
10,100036719-104036719,48.85372,2.35702,Pont Marie,0.023,1.134,75104,1.60058563150251,29390.0,18362.02913580504,18 quai de l'Hôtel de Ville NO-SE,26.3,0,moins de 50 par heure
11,100041488-101041488,48.846099,2.375456,Gare de Lyon,0.327,2.707,75112,16.3147826372674,140237.0,8595.701402705823,27 boulevard Diderot E-O,61.3,1,de 50 à 100 par heure
12,100042374-109042374,48.8484,2.27586,Javel,0.279,4.956,75116,16.3725421289739,167777.0,10247.461797828637,Voie Georges Pompidou SO-NE,72.0,1,de 50 à 100 par heure
13,100042374-110042374,48.8484,2.27586,Javel,0.279,4.956,75116,16.3725421289739,167777.0,10247.461797828637,Voie Georges Pompidou NE-SO,37.3,0,moins de 50 par heure
14,100044493-101044493,48.86149,2.37376,Saint-Ambroise,0.02,2.376,75111,3.66544155248808,146028.0,39839.12931332299,67 boulevard Voltaire SE-NO,262.8,3,plus de 175 par heure
15,100044494-101044494,48.874716,2.292439,Charles De Gaulle-Étoile,0.266,4.168,75117,5.66883450445393,167975.0,29631.31131593703,10 avenue de la Grande Armée SE-NO,48.0,0,moins de 50 par heure
16,100044495-101044495,48.87451,2.29215,Argentine,0.243,4.175,75116,16.3725421289739,167777.0,10247.461797828637,7 avenue de la Grande Armée NO-SE,60.1,1,de 50 à 100 par heure
17,100044506-101044506,48.86155,2.37407,Saint-Ambroise,0.016,2.399,75111,3.66544155248808,146028.0,39839.12931332299,72 boulevard Voltaire NO-SE,279.9,3,plus de 175 par heure
18,100047533-101047533,48.87756,2.35535,Gare du Nord,0.389,2.515,75110,2.89173944162064,86863.0,30038.321831416008,89 boulevard de Magenta NO-SE,325.9,3,plus de 175 par heure
19,100047534-101047534,48.88181,2.281546,Neuilly Porte Maillot,0.555,5.257,75117,5.66883450445393,167975.0,29631.31131593703,16 avenue de la Porte des Ternes E-O,14.7,0,moins de 50 par heure
20,100047535-101047535,48.84015,2.26733,Pont du Garigliano,0.367,5.795,75116,16.3725421289739,167777.0,10247.461797828637,Pont du Garigliano NO-SE,117.6,2,de 100 à 175 par heure
21,100047536-101047536,48.877726,2.354926,Gare du Nord,0.388,2.521,75110,2.89173944162064,86863.0,30038.321831416008,102 boulevard de Magenta SE-NO,323.4,3,plus de 175 par heure
22,100047537-101047537,48.86057,2.38886,Père Lachaise,0.308,3.45,75120,5.98344603718297,195918.0,32743.338668470544,26 boulevard de Ménilmontant SE-NO,219.4,3,plus de 175 par heure
23,100047538-101047538,48.881626,2.281203,Neuilly Porte Maillot,0.556,5.267,75117,5.66883450445393,167975.0,29631.31131593703,Face au 16 avenue de la  Porte des Ternes O-E,38.9,0,moins de 50 par heure
24,100047539-101047539,48.830449,2.353199,Place d'Italie,0.299,3.025,75113,7.14931109107136,181233.0,25349.715195123972,21 boulevard Auguste Blanqui SO-NE,44.6,0,moins de 50 par heure
25,100047540-101047540,48.86077,2.37305,Saint-Ambroise,0.127,2.308,75111,3.66544155248808,146028.0,39839.12931332299,72 boulevard Richard Lenoir  S-N,257.9,3,plus de 175 par heure
26,100047541-101047541,48.82658,2.38409,Avenue de France,0.344,4.543,75113,7.14931109107136,181233.0,25349.715195123972,Pont National SO-NE,2.5,0,moins de 50 par heure
27,100047542-103047542,48.89172,2.38531,Corentin Cariou,0.479,5.019,75119,6.79265112902648,185571.0,27319.377438216226,Face au 48 quai de la marne NE-SO,97.9,1,de 50 à 100 par heure
28,100047542-104047542,48.89172,2.38531,Corentin Cariou,0.479,5.019,75119,6.79265112902648,185571.0,27319.377438216226,Face au 48 quai de la marne SO-NE,103.4,2,de 100 à 175 par heure
29,100047544-101047544,48.860852,2.372279,Richard Lenoir,0.116,2.254,75111,3.66544155248808,146028.0,39839.12931332299,77 boulevard Richard Lenoir N-S,116.7,2,de 100 à 175 par heure
30,100047545-103047545,48.890457,2.368852,Riquet,0.582,4.235,75119,6.79265112902648,185571.0,27319.377438216226,Face 104 rue d'Aubervilliers N-S,39.9,0,moins de 50 par heure
31,100047545-104047545,48.890457,2.368852,Riquet,0.582,4.235,75119,6.79265112902648,185571.0,27319.377438216226,Face 104 rue d'Aubervilliers S-N,32.3,0,moins de 50 par heure
32,100047546-103047546,48.829523,2.38699,Cour Saint-Émilion,0.426,4.462,75112,16.3147826372674,140237.0,8595.701402705823,Face au 70 quai de Bercy S-N,38.7,0,moins de 50 par heure
33,100047546-104047546,48.829523,2.38699,Cour Saint-Émilion,0.426,4.462,75112,16.3147826372674,140237.0,8595.701402705823,Face au 70 quai de Bercy N-S,45.2,0,moins de 50 par heure
34,100047547-103047547,48.82636,2.30303,Porte de Vanves,0.297,4.431,75114,5.61487730907921,136568.0,24322.526118098907,6 rue Julia Bartet SO-NE,49.4,0,moins de 50 par heure
35,100047547-104047547,48.82636,2.30303,Porte de Vanves,0.297,4.431,75114,5.61487730907921,136568.0,24322.526118098907,6 rue Julia Bartet NE-SO,57.9,1,de 50 à 100 par heure
36,100047548-103047548,48.89141,2.38482,Corentin Cariou,0.467,4.969,75119,6.79265112902648,185571.0,27319.377438216226,Face au 25 quai de l'Oise NE-SO,47.5,0,moins de 50 par heure
37,100047548-104047548,48.89141,2.38482,Corentin Cariou,0.467,4.969,75119,6.79265112902648,185571.0,27319.377438216226,Face au 25 quai de l'Oise SO-NE,47.6,0,moins de 50 par heure
38,100047549-101047549,48.82682,2.38465,Avenue de France,0.412,4.551,75113,7.14931109107136,181233.0,25349.715195123972,Pont National  NE-SO,81.0,1,de 50 à 100 par heure
39,100047550-101047550,48.860528,2.388364,Père Lachaise,0.288,3.413,75111,3.66544155248808,146028.0,39839.12931332299,35 boulevard de Ménilmontant NO-SE,105.7,2,de 100 à 175 par heure
40,100047551-102047551,48.83992,2.26694,Pont du Garigliano,0.402,5.831,75116,16.3725421289739,167777.0,10247.461797828637,Pont du Garigliano SE-NO,46.6,0,moins de 50 par heure
41,100049407-353255859,48.840801,2.333233,Raspail,0.343,1.884,75106,2.1530955863928303,41171.0,19121.77065439787,152 boulevard du Montparnasse O-E,39.3,0,moins de 50 par heure
42,100049407-353255860,48.840801,2.333233,Raspail,0.343,1.884,75106,2.1530955863928303,41171.0,19121.77065439787,152 boulevard du Montparnasse E-O,43.6,0,moins de 50 par heure
43,100049408-101049408,48.83068,2.35348,Place d'Italie,0.264,3.006,75113,7.14931109107136,181233.0,25349.715195123972,10 boulevard Auguste Blanqui NE-SO,71.6,1,de 50 à 100 par heure
44,100050132-101050132,48.86179,2.32014,Assemblée Nationale,0.147,1.718,75107,4.09005718546976,49681.0,12146.773931791355,243 boulevard Saint Germain NO-SE,103.1,2,de 100 à 175 par heure
45,100050876-103050876,48.85735,2.35211,Hôtel de Ville,0.094,0.73,75104,1.60058563150251,29390.0,18362.02913580504,Totem 64 Rue de Rivoli E-O,147.6,2,de 100 à 175 par heure
46,100050876-104050876,48.85735,2.35211,Hôtel de Ville,0.094,0.73,75104,1.60058563150251,29390.0,18362.02913580504,Totem 64 Rue de Rivoli O-E,192.2,3,plus de 175 par heure
47,100056032-101056032,48.88926,2.37472,Riquet,0.201,4.338,75119,6.79265112902648,185571.0,27319.377438216226,87 avenue de Flandre NE-SO,78.1,1,de 50 à 100 par heure
48,100056034-101056034,48.889046,2.374872,Riquet,0.198,4.325,75119,6.79265112902648,185571.0,27319.377438216226,72 avenue de Flandre SO-NE,66.3,1,de 50 à 100 par heure
49,100056035-353266460,48.86357,2.32203,Concorde,0.319,1.669,75101,1.8246128604866598,16055.0,8799.126843662507,Quai des Tuileries SE-NO,62.3,1,de 50 à 100 par heure
50,100056035-353266462,48.86357,2.32203,Concorde,0.319,1.669,75101,1.8246128604866598,16055.0,8799.126843662507,Quai des Tuileries NO-SE,78.8,1,de 50 à 100 par heure
51,100056036-101056036,48.86451,2.40932,Porte de Bagnolet,0.063,5.0,75120,5.98344603718297,195918.0,32743.338668470544,2 avenue de la Porte de Bagnolet O-E,4.0,0,moins de 50 par heure
52,100056038-101056038,48.869873,2.307419,Franklin D. Roosevelt,0.295,2.946,75108,3.88003639704363,36250.0,9342.695864301806,44 avenue des Champs Elysées SE-NO,67.9,1,de 50 à 100 par heure
53,100056039-101056039,48.82024,2.35902,Porte d'Italie,0.181,4.234,75113,7.14931109107136,181233.0,25349.715195123972,180 avenue d'Italie N-S,46.0,0,moins de 50 par heure
54,100056040-101056040,48.842091,2.301,Vaugirard,0.287,3.432,75115,8.49499408101075,232668.0,27388.836034635202,129 rue Lecourbe SO-NE,46.2,0,moins de 50 par heure
55,100056041-101056041,48.82026,2.3592,Porte d'Italie,0.17,4.236,75113,7.14931109107136,181233.0,25349.715195123972,147 avenue d'Italie S-N,46.1,0,moins de 50 par heure
56,100056042-101056042,48.869831,2.307076,Franklin D. Roosevelt,0.33,2.965,75108,3.88003639704363,36250.0,9342.695864301806,33 avenue des Champs Elysées NO-SE,90.9,1,de 50 à 100 par heure
57,100056044-101056044,48.84216,2.30115,Vaugirard,0.294,3.419,75115,8.49499408101075,232668.0,27388.836034635202,132 rue Lecourbe NE-SO,43.8,0,moins de 50 par heure
58,100056045-101056045,48.86373,2.31973,Assemblée Nationale,0.356,1.828,75108,3.88003639704363,36250.0,9342.695864301806,Pont de la Concorde N-S,89.1,1,de 50 à 100 par heure
59,100056046-101056046,48.86282,2.31061,Invalides,0.212,2.418,75107,4.09005718546976,49681.0,12146.773931791355,Pont des Invalides S-N,29.8,0,moins de 50 par heure
60,100056047-101056047,48.86378,2.32003,Assemblée Nationale,0.35,1.81,75108,3.88003639704363,36250.0,9342.695864301806,Pont de la Concorde S-N,80.2,1,de 50 à 100 par heure
61,100056223-101056223,48.86284,2.310345,Invalides,0.241,2.438,75107,4.09005718546976,49681.0,12146.773931791355,Pont des Invalides N-S,24.0,0,moins de 50 par heure
62,100056225-101056225,48.82108,2.32537,Porte d'Orléans,0.231,4.146,75114,5.61487730907921,136568.0,24322.526118098907,3 avenue de la Porte D'Orléans (gare routière) S-N 3 avenue de la Porte D'Orléans S-N,2.7,0,moins de 50 par heure
63,100056226-103056226,48.830331,2.400551,Porte de Charenton,0.269,5.187,75112,16.3147826372674,140237.0,8595.701402705823,Face au 8 avenue de la porte de Charenton SE-NO,30.4,0,moins de 50 par heure
64,100056226-104056226,48.830331,2.400551,Porte de Charenton,0.269,5.187,75112,16.3147826372674,140237.0,8595.701402705823,Face au 8 avenue de la porte de Charenton NO-SE,17.8,0,moins de 50 par heure
65,100056327-103056327,48.86485,2.40966,Porte de Bagnolet,0.104,5.031,75120,5.98344603718297,195918.0,32743.338668470544,Face au 4 avenue de la porte de Bagnolet E-O,44.1,0,moins de 50 par heure
66,100056327-104056327,48.86485,2.40966,Porte de Bagnolet,0.104,5.031,75120,5.98344603718297,195918.0,32743.338668470544,Face au 4 avenue de la porte de Bagnolet O-E,22.6,0,moins de 50 par heure
67,100056329-103056329,48.84223,2.36811,Gare d'Austerlitz,0.299,2.487,75113,7.14931109107136,181233.0,25349.715195123972,Pont Charles De Gaulle SO-NE,36.9,0,moins de 50 par heure
68,100056329-104056329,48.84223,2.36811,Gare d'Austerlitz,0.299,2.487,75113,7.14931109107136,181233.0,25349.715195123972,Pont Charles De Gaulle NE-SO,40.8,0,moins de 50 par heure
69,100056330-103056330,48.85209,2.28508,Bir-Hakeim,0.516,4.224,75115,8.49499408101075,232668.0,27388.836034635202,36 quai de Grenelle SO-NE,49.9,0,moins de 50 par heure
70,100056330-104056330,48.85209,2.28508,Bir-Hakeim,0.516,4.224,75115,8.49499408101075,232668.0,27388.836034635202,36 quai de Grenelle NE-SO,81.4,1,de 50 à 100 par heure
71,100056332-103056332,48.83848,2.37587,Quai de la Gare,0.374,3.192,75112,16.3147826372674,140237.0,8595.701402705823,Pont de Bercy NE-SO,42.3,0,moins de 50 par heure
72,100056332-104056332,48.83848,2.37587,Quai de la Gare,0.374,3.192,75112,16.3147826372674,140237.0,8595.701402705823,Pont de Bercy SO-NE,37.7,0,moins de 50 par heure
73,100056334-103056334,48.86502,2.35387,Réaumur Sébastopol,0.2,1.262,75103,1.17088282818778,34306.0,29299.259647608556,38 rue Turbigo NE-SO,94.4,1,de 50 à 100 par heure
74,100056334-104056334,48.86502,2.35387,Réaumur Sébastopol,0.2,1.262,75103,1.17088282818778,34306.0,29299.259647608556,38 rue Turbigo SO-NE,97.8,1,de 50 à 100 par heure
75,100056335-103056335,48.86288,2.31179,Invalides,0.08,2.337,75107,4.09005718546976,49681.0,12146.773931791355,Quai d'Orsay O-E,76.4,1,de 50 à 100 par heure
76,100056335-104056335,48.86288,2.31179,Invalides,0.08,2.337,75107,4.09005718546976,49681.0,12146.773931791355,Quai d'Orsay E-O,114.1,2,de 100 à 175 par heure
77,100056336-105056336,48.85013,2.35423,Jussieu,0.449,1.142,75105,2.5393746228453202,58897.0,23193.50578293448,27 quai de la Tournelle SE-NO,129.4,2,de 100 à 175 par heure
78,100056336-106056336,48.85013,2.35423,Jussieu,0.449,1.142,75105,2.5393746228453202,58897.0,23193.50578293448,27 quai de la Tournelle NO-SE,83.0,1,de 50 à 100 par heure
79,100057329-103057329,48.84201,2.36729,Gare d'Austerlitz,0.214,2.458,75113,7.14931109107136,181233.0,25349.715195123972,Totem 85 quai d'Austerlitz SE-NO,95.8,1,de 50 à 100 par heure
80,100057329-104057329,48.84201,2.36729,Gare d'Austerlitz,0.214,2.458,75113,7.14931109107136,181233.0,25349.715195123972,Totem 85 quai d'Austerlitz NO-SE,78.7,1,de 50 à 100 par heure
81,100057380-103057380,48.86462,2.31444,Invalides,0.288,2.222,75108,3.88003639704363,36250.0,9342.695864301806,Totem Cours la Reine O-E,115.6,2,de 100 à 175 par heure
82,100057380-104057380,48.86462,2.31444,Invalides,0.288,2.222,75108,3.88003639704363,36250.0,9342.695864301806,Totem Cours la Reine E-O,56.4,1,de 50 à 100 par heure
83,100057445-103057445,48.86377,2.35096,Étienne Marcel,0.151,1.017,75102,0.99115374474596,21735.0,21928.98943803198,Totem 73 boulevard de Sébastopol N-S,198.9,3,plus de 175 par heure
84,100057445-104057445,48.86377,2.35096,Étienne Marcel,0.151,1.017,75102,0.99115374474596,21735.0,21928.98943803198,Totem 73 boulevard de Sébastopol S-N,256.0,3,plus de 175 par heure
85,100060178-101060178,48.84638,2.31529,Duroc,0.159,2.284,75115,8.49499408101075,232668.0,27388.836034635202,90 Rue De Sèvres SO-NE,25.7,0,moins de 50 par heure
86,100060178-102060178,48.84638,2.31529,Duroc,0.159,2.284,75115,8.49499408101075,232668.0,27388.836034635202,90 Rue De Sèvres NE-SO,65.0,1,de 50 à 100 par heure
87,100063173-101063173,48.896825,2.345648,Porte de Clignancourt,0.11,4.473,75118,5.99605130811905,193288.0,32235.881593987575,74 Boulevard Ornano S-N,7.6,0,moins de 50 par heure
88,100063175-353277233,48.88529,2.32666,Place de Clichy,0.216,3.382,75118,5.99605130811905,193288.0,32235.881593987575,20 Avenue de Clichy NO-SE,57.3,1,de 50 à 100 par heure
89,100063175-353277235,48.88529,2.32666,Place de Clichy,0.216,3.382,75118,5.99605130811905,193288.0,32235.881593987575,20 Avenue de Clichy SE-NO,56.0,1,de 50 à 100 par heure
90,300014702-353245971,48.83977,2.30198,Vaugirard,0.101,3.501,75115,8.49499408101075,232668.0,27388.836034635202,254 rue de Vaugirard SO-NE,84.3,1,de 50 à 100 par heure
91,300014702-353245972,48.83977,2.30198,Vaugirard,0.101,3.501,75115,8.49499408101075,232668.0,27388.836034635202,254 rue de Vaugirard NE-SO,65.6,1,de 50 à 100 par heure
92,300021312-353293580,48.851131,2.345678,Cluny-La Sorbonne,0.156,0.666,75105,2.5393746228453202,58897.0,23193.50578293448,30 rue Saint Jacques N-S,214.5,3,plus de 175 par heure
93,300021320-353293614,48.89683,2.34521,Porte de Clignancourt,0.075,4.472,75118,5.99605130811905,193288.0,32235.881593987575,69 Boulevard Ornano N-S,138.1,2,de 100 à 175 par heure
